,chembl_ids,IC50s,SMILES
4911,CHEMBL5572636,2.3,O=C1C(c2cc(-c3ccccc3C(F)(F)F)no2)=CS(=O)(=O)c2ccccc21
1197,CHEMBL2391740,2.4,O=C1OCc2ccc(OCc3ccc(Br)cc3)cc21
4347,CHEMBL5191709,2.5,COC1CCN(c2nc3ccccc3c3c2ccn3Cc2cccc(Cl)c2)C1
3988,CHEMBL4206812,2.5,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O
4354,CHEMBL5177167,2.5,COc1cccc(Cn2ccc3c(N4CCC(O)CC4)nc4ccccc4c32)c1
5625,CHEMBL6161785,2.5,C/C(=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1ccsc1
993,CHEMBL2151669,2.54,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1
4563,CHEMBL5278614,2.6,COc1ccc2c(c1)O/C(=C\n1ccc3ccccc31)C2=O
4460,CHEMBL5265848,2.6,COc1ccc2c(c1)O/C(=C\c1cc3ccccc3[nH]1)C2=O
1388,CHEMBL3121790,2.62,C#CCCCCOc1ccc2ccc(=O)oc2c1
3672,CHEMBL4575130,2.65,Cc1cccc(NC(=O)c2coc3ccccc3c2=O)c1
4300,CHEMBL5199383,2.7,O=C1CSc2cc(OCc3ccc(Cl)cc3)ccc2N1
3165,CHEMBL4439402,2.7,NS(=O)(=O)c1ccc(-c2nnc(-c3ccc(Cl)c(Cl)c3)o2)cc1
5556,CHEMBL6146324,2.72,O=c1ccc2ccc(COc3cccc(F)c3)cc2o1
735,CHEMBL1835230,2.73,COc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1OC
1628,CHEMBL3319246,2.75,O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc2[nH]ncc2c1
1198,CHEMBL2391739,2.8,O=C1OCc2ccc(OCc3ccc(Cl)cc3)cc21
908,CHEMBL2062871,2.8,O=C(O)c1coc2ccc(OCc3cccc(Br)c3)cc2c1=O
2330,CHEMBL3920226,2.8,CC(=O)c1ccc(OCc2cccc(F)c2)cc1O
3987,CHEMBL4209203,2.82,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1C
2513,CHEMBL1814068,2.9,O=C(Nc1ccc(Cl)cc1)c1coc2ccccc2c1=O
3659,CHEMBL1814068,2.9,O=C(Nc1ccc(Cl)cc1)c1coc2ccccc2c1=O
1290,CHEMBL2430707,2.9,O=C1CCc2ccc(OCc3cccc(Br)c3)cc2N1
2176,CHEMBL3770377,2.9,O=C1CCc2ccc(OCc3ccc(Br)cc3)cc2N1
2670,CHEMBL3920226,2.9,CC(=O)c1ccc(OCc2cccc(F)c2)cc1O
1509,CHEMBL3264960,2.91,C[C@@H]1CC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1
1386,CHEMBL3121792,2.96,C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1
451,CHEMBL1253680,3.0,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1
2331,CHEMBL3948027,3.0,CC(=O)c1ccc(OCc2ccc(F)cc2)cc1O
